"Event","Δf", "Δt", "df/dt", "ΔNe", "Δh", "velocity"
"BLEN7M_20110809_074503_24", "57.739746521114284", "75.59999999999967", "0.7637532608613035", "577871629.6331513", "20066.255538002108", "265.4"
"BLEN7M_20110809_080004_25", "264.4480390667086", "346.24800000000135", "0.763753260861312", "4623082823.397316", "53152.994918825076", "153.5"
"BIR_20110924_100000_01", "64.49950031540175", "614.5200000000002", "0.10495915562618259", "111639054.31518641", "139996.8878198063", "227.8"
"ALASKA_20110907_223000_59", "38.1145852363552", "42.120000000004154", "0.9049046827243931", "507736546.14344215", "9938.747796023672", "236.0"
